dist_code,district
19_1,Adilabad
22_2,Bhadradri Kothagudem
21_1,Hanumakonda
16_1,Hyderabad
20_2,Jagtial
21_3,Jangoan
21_7,Jayashankar Bhupalpally
14_2,Jogulamba Gadwal
18_2,Kamareddy
20_1,Karimnagar
22_1,Khammam
19_4,Kumurambheem Asifabad
21_5,Mahabubabad
14_1,Mahabubnagar
19_3,Mancherial
17_1,Medak
15_2,Medchal_Malkajgiri
21_6,Mulugu
14_3,Nagarkurnool
23_1,Nalgonda
14_5,Narayanpet
19_2,Nirmal
18_1,Nizamabad
20_4,Peddapalli
20_3,Rajanna Sircilla
15_1,Rangareddy
17_2,Sangareddy
17_3,Siddipet
23_2,Suryapet
15_3,Vikarabad
14_4,Wanaparthy
21_2,Warangal
23_3,Yadadri Bhuvanagiri
